file_name,n_tokens
mm2src/db_common/src/sql_condition.rs,2019
mm2src/db_common/src/sql_constraint.rs,3038
mm2src/db_common/src/sql_create.rs,2128
mm2src/db_common/src/sql_delete.rs,1106
mm2src/db_common/src/sql_insert.rs,2998
mm2src/db_common/src/sql_query.rs,6222
mm2src/db_common/src/sql_update.rs,1605
mm2src/db_common/src/sql_value.rs,1299
mm2src/db_common/src/sqlite.rs,3160
mm2src/derives/enum_from/Cargo.toml,96
mm2src/derives/enum_from/src/from_inner.rs,382
mm2src/derives/enum_from/src/from_stringify.rs,844
mm2src/derives/enum_from/src/from_trait.rs,731
mm2src/derives/enum_from/src/lib.rs,2542
mm2src/derives/ser_error/Cargo.toml,78
mm2src/derives/ser_error/src/lib.rs,203
mm2src/derives/ser_error_derive/Cargo.toml,127
mm2src/derives/ser_error_derive/src/lib.rs,1331
mm2src/floodsub/CHANGELOG.md,125
mm2src/floodsub/Cargo.toml,288
mm2src/floodsub/build.rs,275
mm2src/floodsub/src/layer.rs,3609
mm2src/floodsub/src/lib.rs,573
mm2src/floodsub/src/protocol.rs,2129
mm2src/floodsub/src/rpc.proto,138
mm2src/floodsub/src/topic.rs,379
mm2src/gossipsub/CHANGELOG.md,74
mm2src/gossipsub/Cargo.toml,529
mm2src/gossipsub/build.rs,275
mm2src/gossipsub/src/behaviour.rs,14649
mm2src/gossipsub/src/behaviour/tests.rs,8634
mm2src/gossipsub/src/config.rs,2661
mm2src/gossipsub/src/handler.rs,3279
mm2src/gossipsub/src/lib.rs,1853
mm2src/gossipsub/src/mcache.rs,2650
mm2src/gossipsub/src/protocol.rs,3710
mm2src/gossipsub/src/rpc.proto,680
mm2src/gossipsub/src/topic.rs,729
mm2src/gossipsub/tests/smoke.rs,2325
mm2src/hw_common/.cargo/config.toml,27
mm2src/hw_common/Cargo.toml,377
mm2src/hw_common/src/lib.rs,38
mm2src/hw_common/src/primitives.rs,103
mm2src/hw_common/src/transport/hid_driver.rs,2199
mm2src/hw_common/src/transport/libusb.rs,2768
mm2src/hw_common/src/transport/mod.rs,378
mm2src/hw_common/src/transport/webusb_driver.rs,4333
mm2src/ledger/Cargo.toml,238
mm2src/ledger/src/error.rs,107
mm2src/ledger/src/lib.rs,68
mm2src/ledger/src/transport/apdu.rs,693
mm2src/ledger/src/transport/hid_tokenizer.rs,2576
mm2src/ledger/src/transport/mod.rs,34
mm2src/ledger/src/transport/protocol.rs,306
mm2src/ledger/src/transport/webusb.rs,2
mm2src/mm2_bin_lib/Cargo.toml,718
mm2src/mm2_bin_lib/build.rs,1285
mm2src/mm2_bin_lib/src/lib.rs,969
mm2src/mm2_bin_lib/src/mm2_bin.rs,182
mm2src/mm2_bin_lib/src/mm2_native_lib.rs,2345
